patchid,label
CBK_0001_00_20230804_0001_1,0
CBK_0001_00_20230804_0001_2,0
CBK_0001_00_20230804_0001_3,0
CBK_0001_00_20230804_0001_4,0
CBK_0001_00_20230804_0001_5,0
CBK_0001_00_20230804_0001_6,0
CBK_0001_00_20230804_0001_7,0
CBK_0001_00_20230804_0001_8,0
CBK_0001_00_20230804_0001_9,0
CBK_0001_00_20230804_0001_10,0
CBK_0001_00_20230804_0001_11,0
CBK_0001_00_20230804_0001_12,0
CBK_0001_00_20230804_0001_13,0
CBK_0001_00_20230804_0001_14,0
CBK_0001_00_20230804_0001_15,0
CBK_0001_00_20230804_0001_16,0
CBK_0001_00_20230804_0001_17,0
CBK_0001_00_20230804_0001_18,0
CBK_0001_00_20230804_0001_19,0
CBK_0001_00_20230804_0001_20,0
CBK_0001_00_20230804_0001_21,0
CBK_0001_00_20230804_0001_22,0
CBK_0001_00_20230804_0001_23,0
CBK_0001_00_20230804_0001_24,0
CBK_0001_00_20230804_0001_25,0
CBK_0001_00_20230804_0001_26,0
CBK_0001_00_20230804_0001_27,0
CBK_0001_00_20230804_0001_28,0
CBK_0001_00_20230804_0001_29,0
CBK_0001_00_20230804_0001_30,0
CBK_0001_00_20230804_0001_31,0
CBK_0001_00_20230804_0001_32,0
CBK_0001_00_20230804_0001_33,0
CBK_0001_00_20230804_0001_34,0
CBK_0001_00_20230804_0001_35,0
CBK_0001_00_20230804_0002_1,0
CBK_0001_00_20230804_0002_2,0
CBK_0001_00_20230804_0002_3,0
CBK_0001_00_20230804_0002_4,0
CBK_0001_00_20230804_0002_5,0
CBK_0001_00_20230804_0002_6,0
CBK_0001_00_20230804_0002_7,0
CBK_0001_00_20230804_0002_8,0
CBK_0001_00_20230804_0002_9,0
CBK_0001_00_20230804_0002_10,0
CBK_0001_00_20230804_0002_11,0
CBK_0001_00_20230804_0002_12,0
CBK_0001_00_20230804_0002_13,0
CBK_0001_00_20230804_0002_14,0
CBK_0001_00_20230804_0002_15,0
CBK_0001_00_20230804_0002_16,0
CBK_0001_00_20230804_0002_17,0
CBK_0001_00_20230804_0002_18,0
CBK_0001_00_20230804_0002_19,0
CBK_0001_00_20230804_0002_20,0
CBK_0001_00_20230804_0002_21,0
CBK_0001_00_20230804_0002_22,0
CBK_0001_00_20230804_0002_23,0
CBK_0001_00_20230804_0002_24,0
CBK_0001_00_20230804_0002_25,0
CBK_0001_00_20230804_0002_26,0
CBK_0001_00_20230804_0002_27,0
CBK_0001_00_20230804_0002_28,0
CBK_0001_00_20230804_0002_29,0
CBK_0001_00_20230804_0002_30,0
CBK_0001_00_20230804_0002_31,0
CBK_0001_00_20230804_0002_32,0
CBK_0001_00_20230804_0002_33,0
CBK_0001_00_20230804_0002_34,0
CBK_0001_00_20230804_0002_35,0
CBK_0001_00_20230804_0003_1,3
CBK_0001_00_20230804_0003_2,"1,3"
CBK_0001_00_20230804_0003_3,"1,3"
CBK_0001_00_20230804_0003_4,3
CBK_0001_00_20230804_0003_5,"1,3"
CBK_0001_00_20230804_0003_6,"1,3"
CBK_0001_00_20230804_0003_7,"1,3"
CBK_0001_00_20230804_0003_8,"1,3"
CBK_0001_00_20230804_0003_9,3
CBK_0001_00_20230804_0003_10,3
CBK_0001_00_20230804_0003_11,3
CBK_0001_00_20230804_0003_12,3
CBK_0001_00_20230804_0003_13,3
CBK_0001_00_20230804_0003_14,3
CBK_0001_00_20230804_0003_15,3
CBK_0001_00_20230804_0003_16,3
CBK_0001_00_20230804_0003_17,3
CBK_0001_00_20230804_0003_18,"1,3"
CBK_0001_00_20230804_0003_19,"1,3"
CBK_0001_00_20230804_0003_20,3
CBK_0001_00_20230804_0003_21,3
CBK_0001_00_20230804_0003_22,3
CBK_0001_00_20230804_0003_23,"1,3"
CBK_0001_00_20230804_0003_24,"1,3"
CBK_0001_00_20230804_0003_25,3
CBK_0001_00_20230804_0003_26,3
CBK_0001_00_20230804_0003_27,3
CBK_0001_00_20230804_0003_28,3
CBK_0001_00_20230804_0003_29,3
CBK_0001_00_20230804_0003_30,3
CBK_0001_00_20230804_0003_31,3
CBK_0001_00_20230804_0003_32,3
CBK_0001_00_20230804_0003_33,3
CBK_0001_00_20230804_0003_34,3
CBK_0001_00_20230804_0003_35,3
CBK_0001_00_20230804_0004_1,"1,3"
CBK_0001_00_20230804_0004_2,"1,3"
CBK_0001_00_20230804_0004_3,1
CBK_0001_00_20230804_0004_4,"1,3"
CBK_0001_00_20230804_0004_5,"1,3"
CBK_0001_00_20230804_0004_6,0
CBK_0001_00_20230804_0004_7,0
CBK_0001_00_20230804_0004_8,"1,3"
CBK_0001_00_20230804_0004_9,"1,3"
CBK_0001_00_20230804_0004_10,3
CBK_0001_00_20230804_0004_11,0
CBK_0001_00_20230804_0004_12,0
CBK_0001_00_20230804_0004_13,1
CBK_0001_00_20230804_0004_14,"1,3"
CBK_0001_00_20230804_0004_15,"1,3"
CBK_0001_00_20230804_0004_16,0
CBK_0001_00_20230804_0004_17,0
CBK_0001_00_20230804_0004_18,0
CBK_0001_00_20230804_0004_19,"1,3"
CBK_0001_00_20230804_0004_20,"1,3"
CBK_0001_00_20230804_0004_21,0
CBK_0001_00_20230804_0004_22,0
CBK_0001_00_20230804_0004_23,0
CBK_0001_00_20230804_0004_24,1
CBK_0001_00_20230804_0004_25,"1,3"
